state	county	dem_percent_12	dem_percent_16
Michigan	Macomb	51.478151	42.049119
Michigan	Mecosta	44.433276	33.941053
Michigan	Midland	41.792403	36.783042
Michigan	Missaukee	32.360894	21.388547
Michigan	Newaygo	40.636931	27.438163
Michigan	Ottawa	32.300169	31.50826
Michigan	St. Joseph	43.322908	31.679084
Michigan	Schoolcraft	46.072134	32.956187
Michigan	Van Buren	49.608673	39.844924
Michigan	Washtenaw	67.313689	68.13255
Minnesota	Dakota	50.365868	47.737211
Minnesota	Douglas	41.297189	28.583888
Minnesota	Kanabec	44.08589	28.45787
Minnesota	Lake	59.281525	47.186014
Minnesota	Lyon	44.115273	31.313958
Minnesota	Nobles	44.518779	31.66126
Minnesota	Norman	53.944496	38.761116
Minnesota	Pennington	46.401719	31.973194
Minnesota	Pipestone	37.128713	23.4401
Minnesota	Pope	47.726545	33.328058
Minnesota	Ramsey	66.328339	65.071409
Minnesota	Renville	44.020752	27.83329
Minnesota	Roseau	37.704026	23.782676
Minnesota	Sherburne	37.835688	27.531429
Minnesota	Waseca	44.834308	29.400186
Mississippi	Bolivar	68.589577	65.436921
Mississippi	Calhoun	36.587436	29.862414
Mississippi	Claiborne	88.220277	86.797753
Mississippi	Copiah	54.867946	51.925743
Mississippi	Covington	41.48481	37.180797
Mississippi	Grenada	46.651963	42.081233
Mississippi	Jefferson Davis	62.164918	59.64406
Mississippi	Leflore	71.392782	69.901257
Mississippi	Lowndes	49.296708	46.213099
Mississippi	Pearl River	19.645428	16.469405
Mississippi	Tate	39.763018	33.766234
Mississippi	Tunica	79.301689	74.768713
Mississippi	Yalobusha	47.686497	42.48807
Missouri	Adair	41.665021	34.226482
Missouri	Barton	21.406196	13.386092
Missouri	Chariton	35.043182	22.373394
Missouri	Clark	43.348837	22.51944
Missouri	Henry	35.621851	23.890128
Missouri	Holt	23.852814	14.734607
Missouri	Howell	26.887312	16.505299
Missouri	Lafayette	35.802469	25.529101
Missouri	Lincoln	34.142681	22.333948
Missouri	Madison	32.210953	18.887427
Missouri	Miller	24.058445	15.329362
Missouri	Platte	42.094749	41.028945
Missouri	Putnam	25.422261	15.046888
Missouri	St. Clair	31.560744	20.215983
Missouri	St. Louis County	56.196423	55.686034
Missouri	Saline	41.61177	30.073323
Missouri	Shelby	29.888614	18.617512
Missouri	Webster	28.576058	18.975094
Missouri	St. Louis City	82.711846	79.452859
Montana	Fergus	27.013672	20.582192
Montana	Flathead	31.953262	28.543514
Montana	Glacier	65.678347	61.497537
Montana	McCone	22.4572	14.528302
Montana	Meagher	27.674897	19.75435
Montana	Missoula	57.392642	53.279395
Montana	Powell	31.988473	19.72083
Montana	Rosebud	40.363327	28.58384
Montana	Wheatland	27.419355	18.921776
Nebraska	Antelope	17.667079	11.67327
Nebraska	Banner	13.381995	4.726368
Nebraska	Blaine	9.570957	9.463722
Nebraska	Buffalo	27.579294	22.542477
Nebraska	Burt	38.251852	26.13828
Nebraska	Cass	35.853859	26.938839
Nebraska	Frontier	20.766284	12.123494
Nebraska	Hamilton	23.526997	17.545963
Nebraska	Hooker	14.936709	9.592326
Nebraska	Keya Paha	16.528926	8.350731
Nebraska	Nance	29.673041	17.334978
Nebraska	Perkins	17.073171	11.065292
Nebraska	Sherman	36.078431	21.614749
Nebraska	Sioux	13.667118	11.005435
Nebraska	Thomas	10.294118	7.633588
Nebraska	Valley	22.687927	15.37415
Nebraska	Wayne	29.16893	22.113347
Nevada	Esmeralda	21.149425	15.36643
Nevada	Eureka	13.242574	8.665105
Nevada	Nye	36.068942	25.996428
New Hampshire	Grafton	60.863177	55.693384
New Jersey	Cape May	45.183702	38.483642
New Jersey	Morris	44.041127	46.023018
New Jersey	Passaic	63.699804	59.93727
New Jersey	Sussex	38.426096	32.663303
New Mexico	Chaves	32.544845	27.300084
New Mexico	De Baca	31.818182	21.208791
New Mexico	Sierra	38.494708	31.113685
New York	Cattaraugus	40.447475	30.477199
New York	Chautauqua	42.501703	35.201165
New York	Clinton	58.950939	46.905466
New York	Erie	54.883569	50.860077
New York	Essex	56.038763	45.080729
New York	Franklin	59.821765	43.045068
New York	Monroe	55.694655	54.225826
New York	New York	81.404893	86.556921
New York	Oneida	45.018454	37.076553
New York	Otsego	47.765028	40.716067
New York	Richmond	49.009204	40.972038
New York	St. Lawrence	55.088597	42.106338
New York	Saratoga	48.334755	44.623731
New York	Warren	48.265603	41.680464
North Carolina	Ashe	32.640761	26.072706
North Carolina	Bertie	66.136521	61.816626
North Carolina	Catawba	34.5814	29.323714
North Carolina	Currituck	31.51097	22.993133
